相手先コード１,相手先コード２,相手先区分,所要日数,相手先略称,相手先名称１,相手先名称２,相手先名称３,郵便番号１,郵便番号２,住所１,住所２,住所３,電話番号,ＦＡＸ番号
T1031,H190,5,1,小山化工,小山化工株式会社,,,142,62,東京都品川区小山６－１５－６,,,03-0714-2618,
T0820,,4,1,橋本塗装,有限会社　橋本塗装工芸,,,174,63,東京都板橋区前野町３－５０,,,03-3960-5612,
T3080,,4,1,アイテム,株式会社　アイテム,,,192,32,東京都八王子市石川町２９６３－４,,,0426-39-0301,0426-39-0302
T3800,,4,1,アペックス,株式会社　アペックス,,,192,24,東京都八王子市宇津木町５２３番地１,,,042-646-3500,042-646-7277
T3710,,4,1,西東京ケミックス,西東京ケミックス株式会社,,,192,33,東京都八王子高倉町２－１,,,042-645-5841,042-645-5831
T2880,,4,1,長瀬,長瀬産業株式会社,モビリティソリューションズ事業部,,103,24,東京都中央区日本橋小舟町５－１,,,03-3665-3773,03-3665-3026
T3740,,4,1,長瀬産業　ｺｰﾃｨﾝｸﾞ,長瀬産業株式会社　コーティング材料部,,,103,8355,東京都中央区日本橋小舟町５－１,,,03-3665-3820,03-3665-3181
T3170,,4,1,河口化学,河口化学　有限会社,,,144,51,東京都大田区西蒲田,３－２２－３－１０１,,03-3752-6478,03-3752-6479
T1220,,4,1,和光,有限会社　和光,,,144,54,東京都大田区新蒲田３－３０－１２,,,03-3733-6756,03-3736-6768
T3730,,4,1,ﾌﾟﾗｼｰｽﾞ,株式会社　プラシーズ,,,111,52,東京都台東区柳橋１－２－１２,柳橋Ｍビル２Ｆ,,03-6858-3561,03-6858-3700
T3600,,4,1,三和バキューム,三和バキューム,,,123,851,東京都足立区梅田７－２６－６,,,03-3887-4972,
T0011,,4,1,東新油脂,東新油脂株式会社,,,123,851,東京都足立区梅田５－１４－１１,,,03-3886-3135,03-3840-3136
T2900,,4,1,極東,極東貿易株式会社,,,100,8670,東京都千代田区大手町２－２－１,,,03-3244-3890,03-3246-2076
T2900,H032,5,1,極東,極東貿易株式会社,,,,,東京都千代田区大手町２－２－１,,,,
T1100,,4,1,長城,有限会社　長城通商,,,150,1,東京都渋谷区神宮前３－２６－３,エバーキャッスル　２Ｆ,,03-5775-5268,03-5775-5218
T3300,,4,1,ボルテックス,株式会社　ボルテックスサポート,東京事務所,,105,13,東京都港区浜松町１－２５－１１,ミヤシタビル５階,,03-5733-3556,03-5733-3557
T3090,,4,1,オズワークス　インタ,オズワークス　インターナショナル,,,105,13,東京都港区浜松町　１－２５－１１,ミヤシタビル５Ｆ,,03-6450-1090,03-6450-1574
T3390,,4,1,双日,双日プラネット株式会社,,,107,8655,東京都港区赤坂２－１４－２７,国際新赤坂ビル東館,,03-5520-4044,03-6234-3462
T3430,,4,1,小糸,株式会社　小糸製作所　（本社）,,,108,8711,東京都港区高輪4-8-3,,,03-3443-7111,
T3410,,4,1,横浜化成,横浜化成株式会社,,,108,8388,東京都港区高輪２－２１－４３,ＹＣＣ高輪ビル８Ｆ,,03-5421-8266,03-4521-8470
T3510,,4,1,豊通ｹﾐﾌﾟﾗｽ 東京,豊通ケミプラス株式会社　東京自動車材料部,車載部材ｸﾞﾙｰﾌﾟ,,108,8202,東京都港区港南２－３－１３,品川フロントビル 12階,,03-4306-5466,03-4306-8904
T2900,USS01,5,1,イイノエンター,イイノエンタープライズ株式会社,有明倉庫,,135,63,東京都江東区有明４－２－７,,,03-3529-5521,03-3529-5521
T1031,H037,5,1,箭内硝子㈱,箭内硝子㈱,,,,,東京都江東区亀戸4-44-14,,,03-36844-3030,
T3220,,4,1,エイアイエム,株式会社　エイアイエム,,,132,1,東京都江戸川区新堀１－２７－１２,,,03-5636-4816,03-5636-4817
T0015,H129,5,1,渡辺塗装,有限会社　渡辺塗装,,,133,43,東京都江戸川区松本２－３７－２１,,,03-3652-5447,
T0770,,4,1,滝沢鍍金,有限会社　滝沢鍍金工業所,,,123,25,東京都江戸川区松江４－２２－１８,,,03-3651-3692,03-5662-2986
T0740,,4,1,三友電化,三友電化株式会社,,,124,12,東京都葛飾区立石２－８－４,,,03-3693-1161,03-3697-4939
T0760,,4,1,エフグッズ,株式会社　エフグッズ,,,124,11,東京都葛飾区四つ木４－１３－１４,,,03-3691-4811,03-3694-8373
T3420,,4,1,日東光学,日東光学株式会社,,,392,131,長野県諏訪市湖南4529,,,0266-57-4807,0266-52-1691
T1032,H089,5,2,豊洋メット,株式会社　豊洋メット,,,879,614,大分県豊後高田市大字来縄２７３６－１,,,0978-22-1177,0978-22-1178
T1032,H159,5,2,萬松,株式会社　萬松,,,879,124,大分県中津市大字田尻崎１２－２,,,0979-32-5537,0979-32-5493
T2920,H081,5,2,九州市光,九州市光工業株式会社,,,871,101,大分県中津市三光森山３２１－４,,,0979-43-6531,
T2890,,4,2,ホンダ太陽,ホンダ太陽株式会社　日出工場,,,879,1505,大分県速見郡日出町大字川崎３９６８,,,0977-73-1414,0977-73-1400
T2890,H066,5,2,ホンダ太陽 日出工場,ホンダ太陽株式会社　日出工場,,,879,1505,大分県速見郡日出町大字川崎３９６８,,,0977-73-1414,0977-73-1400
T3440,,4,2,九州南部化成,九州南部化成株式会社,,,879,4414,大分県玖珠郡玖珠町大字大隈２１８,,,0973-72-5477,0973-72-5486
T1210,H124,5,2,九州南部化成,九州南部化成株式会社,,,879,4414,大分県玖珠郡玖珠町大隈２１８,,,0973-72-5485,
T3780,H196,5,2,九州南部化成㈱蒸着課,九州南部化成株式会社,蒸着課,,879,4414,大分県玖珠郡玖珠町大隈２１８,,,0973-72-5485,
T3460,H118,5,1,パナソニック照明,パナソニック電工株式会社,照明事業本部　施設・店舗照明事業部,商品技術グループ,571,8686,大阪府門真市門真1048,,,06-6908-7364,
T3460,,4,1,パナソニック照明,パナソニック電工株式会社,照明綜合技術センター,材料・光学技術グループ,571,8686,大阪府門真市大字門真1048,,,06-6908-7362,06-6906-6349
T0070,H168,5,1,ミツモト,株式会社　ミツモト,,,599,8243,大阪府堺市中区見野山１１３－４,,,072-237-8868,
T1031,H053,5,1,日本エイアンドエル,日本エイアンドエル株式会社,ＡＢＳ事業部,,592,8501,大阪府高石市高砂１丁目６番,,,072-268-3552,
T3310,,4,1,大橋化学,大橋化学工業株式会社,大阪営業所,,567,28,大阪府茨木市畑田町６番２１号,,,072-625-2271,072-625-0337
T2880,GZS05,5,1,丸一海運,丸一海運株式会社　大阪港化学品センター,,,559,0,大阪市住之江区南港北３－４－９９,,,06-6612-3371,
T2880,JUS05,5,1,丸一海運,丸一海運株式会社　大阪港化学品センター,,,559,34,大阪市住之江区南港北３－４－９９,,,06-6612-3371,06-6613-3941
T2880,MAE01,5,1,丸一海運,丸一海運株式会社　大阪港化学品センター,,,559,0,大阪市住之江区南港北３－４－９９,,,06-6612-3371,06-6612-3371
T2880,TES01,5,1,丸一海運,丸一海運㈱　大阪港化学品センター,,,559,34,大阪市住之江区南港北３－４－９９,,,06-6612-3371,
T2880,VES04,5,1,丸一海運,丸一海運株式会社,,,559,34,大阪市住之江区南港北3-4-99,大阪港化学品センター,,06-6612-3371,
T2850,KOS02,5,1,丸一海運,丸一海運株式会社,,,559,0,大阪市住之江区港北３－４－９９,,,06-6612-3371,06-6613-3941
T1031,H050,5,1,光輝社,株式会社　光輝社,,,211,53,川崎市中原区上小田中,７－１３－２４,,044-733-5195,044-733-5198
T3130,,4,1,日本バンパー,日本バンパー販売株式会社,,,332,3,川口市東領家４－２０－２,,,048-225-0591,048-225-0593
T0100,H144,5,1,マスニ,株式会社　マスニ,,,292,212,千葉県木更津市真里１８４０,,,0438-53-2589,
T3500,H189,5,1,ﾏｽﾆ,株式会社　マスニ,,,292,212,千葉県木更津市真理１８４０,,,0438-53-2589,0438-53-2918
T0100,,4,1,柏真空,有限会社　柏　真空,,,277,872,千葉県柏市十余二２０８－１２,,,0471-31-7262,0471-31-7489
T0320,H109,5,1,柏,有限会社　柏真空,,,277,872,千葉県柏市十余二２０８－１２,,,0471-31-7262,0471-31-7489
T0491,,4,1,ヒダン外装,株式会社　ヒダン　外装チーム,,,274,52,千葉県船橋市鈴身町６０６番地１１,,,047-490-0888,047-490-0970
T0492,,4,1,ヒダン購買課,株式会社　ヒダン　購買課,,,274,52,千葉県船橋市鈴身町６０６番地１１,,,047-490-0888,047-490-0970
T1210,AIR02,5,1,商船三井　成田,商船三井ロジスティクス㈱,成田ロジスティクスセンター,気付　名古屋支店,286,113,千葉県成田市南三里塚78-7,プロロジスパーク成田　1-B,,0476-35-6183,
T1210,GZK04,5,1,商船三井成田,商船三井ロジスティクス㈱　成田,ロジスティクスセンター,気付　名古屋支店,286,13,千葉県成田市南三里塚78-7,プロロジスパーク成田　1-B,,0476-35-6183,
T1210,IDK03,5,1,商船三井成田ロジス,商船三井ロジスティクス㈱　成田,ロジスティクスセンター,気付　名古屋支店,286,113,千葉県成田市南三里塚78-7,プロロジスパーク成田　1-B,,0476-35-6183,
T1210,INK03,5,1,商船三井　成田,商船三井ロジスティクス㈱　成田,ロジスティクスセンター　石井様,,,,千葉県成田市南三里塚78-7,プロロジスパーク成田1-B,,0476-35-6183,
T1210,INM04,5,1,商船三井　成田,商船三井ロジスティクス（株）,成田ロジスティクスセンター,,286,13,千葉県成田市南三里塚78-7,AMB 成田エアーカーゴセンターＢ棟　1階,,0476-35-6183,
T1210,INN01,5,1,商船三井成田,商船三井ロジスティクス㈱　成田,ロジスティクスセンター,,286,113,千葉県成田市南三里塚78－7,プロロジスパーク成田　1-B,,0476-35-6183,0476-35-6184
T1210,SAH04,5,1,商船三井成田,商船三井ロジスティクス㈱　成田,ロジスティクスセンター,,286,113,千葉県成田市南三里塚78-7,AMB成田エアーカーゴセンターＢ棟1階,,0476-35-6183,
T1210,SAL02,5,1,商船三井成田,商船三井ロジスティクス（株）,成田ロジスティクスセンター,,286,113,千葉県成田市南三里塚78-7,プロロジスパーク成田1-B,,0476-35-6183,
T1210,TAD07,5,1,商船三井成田,商船三井ロジスティクス㈱　成田,ロジスティックセンター,,286,113,千葉県成田市南三里塚78-7,プロロジスパーク成田1-B,,0476-35-6183,
T1210,THK03,5,1,商船三井成田ロジス,商船三井ロジスティクス㈱　成田,ロジスティクスセンター,気付　名古屋支店,286,113,千葉県成田市南三里塚78-7,プロロジスパーク成田　1-B,,0476-35-6183,
T1210,THK04,5,1,商船三井成田AMB,商船三井ロジスティクス(株),成田ロジスティクスセンター,,286,113,千葉県成田市南三里塚78-7,AMB成田エアーカーゴセンターB棟1階,,0476-35-6183,
T1210,TKTT2,5,1,商船三井(株)成田,商船三井ロジスティック株式会社,成田ロジスティクスセンター　石井　様,,286,113,千葉県成田市南三里塚７８－７,プロロジスパーク成田１－Ｂ,,0476-35-6183,
T2880,IDL02,5,1,日通商事㈱成田サテラ,日通商事株式会社　成田サテライト,日通航空成田空港物流ｾﾝﾀｰ生鮮棟内,,287,225,千葉県成田市東和泉字鏡前443-50,,,0476-36-3270,
T2880,AIR01,5,1,日通商事成田,日通商事株式会社　成田サテライト,成田空港物流ｾﾝﾀｰ生鮮棟内,,286,826,千葉県成田市東和泉字境前443-50,,,0476-36-3270,
T2880,GZS07,5,1,日通商事㈱成田ｻﾃﾗｲﾄ,日通商事株式会社　成田サテライト,,,286,826,千葉県成田市東和泉字境前４４３－５０,日通航空成田空港物流センター生鮮棟内,,0476-36-3270,
T2880,HAS03,5,1,日通商事㈱成田梱包,日通商事㈱成田サテライト,日通航空物流ｾﾝﾀｰ生鮮棟内,,287,225,千葉県成田市東和泉字境前443-50,,,0467-36-3270,
T2880,INS04,5,1,日通商事㈱成田サテラ,日通商事株式会社　成田サテライト,日通航空成田空港物流センター生鮮棟内,,287,225,千葉県成田市東和泉字境前４４３－５０,,,0476-36-3270,
T2880,JUS03,5,1,日通商事㈱成田サテラ,日通商事㈱成田サテライト,,,286,826,千葉県成田市東和泉字境前443-50,日通航空成田空港物流センター生鮮棟内,,0476-36-3270,
T2880,MAI03,5,1,日通商事㈱成田サテラ,日通商事㈱成田サテライト,,,286,826,千葉県成田市東和泉字境前443-50,,,0476-36-3270,
T2880,WUS01,5,1,日通商事㈱成田ｻﾃﾗｲﾄ,日通商事株式会社　成田サテライト,,,286,826,千葉県成田市東和泉字境前443-50,日通航空成田空港物流センター生鮮棟内,,0476-36-3270,
T2880,INN12,5,1,日通商事㈱成田サテラ,日通商事株式会社　成田サテライト,日通航空成田空港物流ｾﾝﾀｰ　生鮮棟内,,286,826,千葉県成田市東和泉字境前　443-50,日通航空成田空港物流ｾﾝﾀｰ　生鮮棟内,,0476-36-3270,0476-36-3271
T1210,AIR03,5,1,TASエクスプレス㈱,ＴＡＳエクスプレス㈱,成田ターミナル保税蔵地場,,287,242,千葉県成田市多良貝245-3031,,,0476-49-0201,
T1210,AIR04,5,1,日祥物流　成田,株式会社　日祥物流　成田ターミナル,,,287,242,千葉県成田市多良貝２４５－３０３１,,,0476-49-0201,0476-49-0205
T1210,BRK02,5,1,日祥物流　成田,株式会社　日祥物流 成田ﾀｰﾐﾅﾙ,三井倉庫ｴｸｽﾌﾟﾚｽ/浅香様扱い,,287,242,千葉県成田市多良貝245-3031,,,0476-49-0201,
T1210,GZK06,5,1,日祥物流　成田,株式会社 日祥物流　成田ターミナル,,,287,242,千葉県成田市多良貝245-3031,,,0476-49-0201,0476-49-0205
T1210,IDK05,5,1,日祥物流　成田ﾀｰﾐﾅﾙ,株式会社　日祥物流　成田ターミナル,気付　三井倉庫エクスプレス株式会社,,287,242,千葉県成田市多良貝２４５－３０３１,,,0476-49-0201,
T1210,INK07,5,1,三井倉庫エクスプレス,三井倉庫エクスプレス株式会社,成田ターミナル保税蔵地場,,287,242,千葉県成田市多良貝２４５－３０３１,,,0476-49-0201,
T1210,INK08,5,1,日祥物流成田ﾀｰﾐﾅﾙ,株式会社日祥物流　成田ﾀｰﾐﾅﾙ　気付,三井倉庫エクスプレス株式会社,,287,242,千葉県成田市多良貝245-3031,,,0476-49-0201,
T1210,INM02,5,1,TASエクスプレス成田,TASエクスプレス(株),成田ターミナル保税蔵地場　日祥物流内,,287,242,千葉県成田市多良貝２４５－３０３１,,,0476-49-0201,
T1210,INN05,5,1,日祥物流　成田ﾀｰﾐﾅﾙ,株式会社　日祥物流　成田ターミナル,気付　三井倉庫エクスプレス株式会社,,287,242,千葉県成田市多良貝２４５－３０３１,,,0476-49-0201,0476-49-0205
T1210,INS14,5,1,三井倉庫ｴｸｽﾌﾟﾚｽ,三井倉庫エクスプレス株式会社,成田ターミナル保税蔵置場,,287,242,千葉県成田市多良貝２４５－３０３１,,,0476-49-0201,
T1210,KCZ02,5,1,日祥物流　成田,株式会社　日祥物流　成田ターミナル,気付 三井倉庫エクスプレス株式会社,,287,242,千葉県成田市多良貝２４５－３０３１,,,0476-49-0201,
T1210,KCZ03,5,1,三井倉庫エクスプレス,三井倉庫エクスプレス株式会社,成田ターミナル保税蔵地場,,287,242,千葉県成田市多良貝２４５－３０３１,,,0476-49-0201,
T1210,RUK01,5,1,(株)日祥物流成田,株式会社 日祥物流 成田ﾀｰﾐﾅﾙ,三井倉庫ｴｸｽﾌﾟﾚｽ/浅香様扱い,,287,242,千葉県成田市多良貝245-3031,,,0476-49-0201,
T1210,SAL04,5,1,日祥物流成田ﾀｰﾐﾅﾙ,株式会社　日祥物流　成田ターミナル　気付,三井倉庫エクスプレス株式会社,,287,242,千葉県成田市多良貝２４５－３０３１,,,0467-49-0201,
T1210,SAL05,5,1,三井倉庫エクスプレス,三井倉庫エクスプレス株式会社,成田ターミナル保税蔵地場,,287,242,千葉県成田市多良貝２４５－３０３１,,,0476-49-0201,
T1210,SHK01,5,1,TASエｸスプレス成田,TASエｸスプレス㈱,成田ターミナル保税蔵地場　日祥物流内,,287,242,千葉県成田市多良貝245-3031,,,0476-49-0201,0476-49-0205
T1210,SHK05,5,1,日祥物流成田ターミナ,株式会社日祥物流　成田ターミナル,三井倉庫エクスプレス,,287,242,千葉県成田市多良貝245-3031,,,0476-49-0201,
T1210,TAD10,5,1,日祥物流　成田ﾀｰﾐﾅﾙ,株式会社　日祥物流　成田ターミナル,三井倉庫エクスプレス　浅香様/森永様扱い,,287,242,千葉県成田市多良貝245-3031,,,0476-49-0201,
T1210,THB02,5,1,日祥物流　成田,株式会社　日祥物流　成田ターミナル,,,287,242,千葉県成田市多良貝２４５－３０３１,,,0476-49-0201,
T1210,THK05,5,1,TASエクスプレス成田,ＴＡＳエクスプレス株式会社,成田ターミナル保税蔵地場(日祥物流内),,287,242,千葉県成田市多良貝２４５－３０３１,,,0476-49-0201,
T1210,THK07,5,1,日祥物流　成田ﾀｰﾐﾅﾙ,株式会社 日祥物流 成田ﾀｰﾐﾅﾙ,三井倉庫エクスプレス/浅香様扱い,,287,242,千葉県成田市多良貝245-3031,,,0476-49-0201,
T1210,THS03,5,1,三井倉庫,三井倉庫エクスプレス株式会社,成田ターミナル保税蔵地場　日祥物流内,,287,242,千葉県成田市多良貝２４５－３０３１,,,0476-49-0201,
T1210,THS04,5,1,ＴＡＳエクスプレス,ＴＡＳエクスプレス株式会社,成田ターミナル保税蔵地場(日祥物流内),,287,242,千葉県成田市多良貝２４５－３０３１,,,0476-49-0201,
T1210,THV03,5,1,日祥物流　成田ﾀｰﾐﾅﾙ,株式会社日祥物流　成田ﾀｰﾐﾅﾙ,（三井倉庫エクスプレス）,,287,242,千葉県成田市多良貝245-3031,,,0476-49-0201,
T1210,TKTT3,5,1,日祥物流成田ﾀｰﾐﾅﾙ,株式会社日祥物流　成田ﾀｰﾐﾅﾙ　気付,三井倉庫エクスプレス株式会社,,287,242,千葉県成田市多良貝245-3031,,,0476-49-0201,
T1210,UKK05,5,1,三井倉庫エクスプレス,三井倉庫エクスプレス株式会社,成田ターミナル保税蔵地場,,287,242,千葉県成田市多良貝245-3031,,,0476-49-0201,
T1210,UKK06,5,1,日祥物流　成田,株式会社　日祥物流　成田ターミナル,三井倉庫エクスプレス株式会社,,287,242,千葉県成田市多良貝２４５－３０３１,,,0476-49-0201,
T1210,VES11,5,1,日祥物流　成田ﾀｰﾐﾅﾙ,株式会社　日祥物流　成田ターミナル,気付 三井倉庫エクスプレス株式会社,,287,242,千葉県成田市多良貝２４５－３０３１,,,0476-49-0201,0476-49-0205
T1210,VES14,5,1,三井倉庫,三井倉庫エクスプレス株式会社,成田ターミナル保税蔵地場,,287,242,千葉県成田市多良貝２４５－３０３１,,,0476-49-0201,
T2880,AIR03,5,1,日祥物流,株式会社日祥物流,成田ターミナル保税蔵置場,,287,242,千葉県成田市多良貝245-3031,,,0476-49-0201,
T2880,INS03,5,1,㈱日祥物流　成田,株式会社　日祥物流,成田ターミナル保税蔵置場,,287,242,千葉県成田市多良貝245-3031,,,0476-49-0201,
T3090,CHD01,5,1,阪神エアーカーゴ,阪神エアーカーゴ　成田物流センター,,,287,242,千葉県成田市多良貝245-161,成田流通団地A/B棟,,0476-49-0351,0476-49-0557
T2850,GAS01,5,1,国際空港上屋,国際空港上屋株式会社(IACT-B棟),輸出受付,,282,8691,千葉県成田市成田国際空港第４貨物ビル１Ｆ,,,0476-32-2910,0476-32-7664
T1210,INK09,5,1,日本通運　成田,日本通運 成田第３物流センター,,,286,825,千葉県成田市新泉３０,,,0476-40-9771,
T1210,INN06,5,1,日本通運　成田,日本通運 成田第３物流センター,,,286,825,千葉県成田市新泉３０,,,0476-40-9771,
T1210,INS15,5,1,日本通運　成田,日本通運 成田第３物流センター,,,286,825,千葉県成田市新泉３０,,,0476-40-9771,
T1210,THK08,5,1,日本通運,日本通運株式会社　航空事業支店,成田輸出センター輸出ＣＦＳ第二課,,286,825,千葉県成田市新泉３０,日通成田空港第三物流センター,,0476-40-9771,
T1210,VES15,5,1,日本通運成田,日本通運成田第３物流センター,輸出ＣＦＳ ２課,,286,825,千葉県成田市新泉３０,,,0476-40-9771,
T1210,INM06,5,1,商船三井　成田ロジス,商船三井ロジスティクス(株),成田ロジスティクスセンター,,286,113,千葉県成田市三里塚78-7,ﾌﾟﾛﾛｼﾞｽｽﾊﾟｰｸ成田1-B,,0476-35-6183,
T2880,TES03,5,1,日通商事　成田梱包,日通商事㈱　成田梱包センター,岡葉流通センター内,,287,225,千葉県成田市吉岡1213-1,,,0476-73-6780,
T2880,VES01,5,1,日通商事成田,日通商事株式会社　成田梱包センター,岡葉流通センター内,,287,225,千葉県成田市吉岡1213-1,,,0476-73-6780,
T0015,,4,1,富士商事,株式会社富士商事,,,271,68,千葉県松戸市古ヶ崎４－３５６７,,,047-362-2429,047-710-2925
T0950,,4,1,山口プレス,株式会社　山口プレスセンター,,,272,14,千葉県市川市田尻１－１０－２１,,,047-370-5611,047-379-3300
T0110,,4,1,京葉,京葉真空株式会社,,,272,35,千葉県市川市新田２－１－１５,,,047-370-4511,047-370-4575
T2880,GZS10,5,1,西鉄　成田梱包営業所,西鉄物流株式会社　成田梱包営業所,,,289,1602,千葉県山武郡芝山町菱田１１５５番地１,,,0479-78-0551,
T2880,HAS06,5,1,西鉄　成田梱包営業所,西鉄物流株式会社　成田梱包営業所,,,289,1602,千葉県山武郡芝山町菱田１１５５番地１,,,0479-78-0551,
T2880,USF04,5,1,西鉄物流,西鉄物流株式会社　梱包センター,,,289,1602,千葉県山武郡芝山町菱田１１５５番地１,,,0479-78-0551,
T2900,USS03,5,1,西鉄物流　成田,西鉄物流株式会社　成田支店梱包営業所,,,289,1602,千葉県山武郡芝山町菱田１１５５番地１,,,0479-78-0551,0479-78-0561
T3740,THT02,5,1,西鉄物流 成田,西鉄物流株式会社　成田梱包営業所,,,289,1602,千葉県山武郡芝山町菱田１１５５番地１,,,0479-78-0551,
T1210,RUK03,5,1,近鉄コスモス　成田梱,株式会社　近鉄コスモス,成田梱包センター,,289,1603,千葉県山武郡芝山町大里字次木６０－１－４,,,0479-70-9433,
T1210,RUK02,5,1,近鉄ｴｸｽﾌﾟﾚｽ　成田,株式会社　近鉄エクスプレス,成田ターミナル,,289,1603,千葉県山武郡芝山町大里字鴻之巣１５７－１,,,0479-70-9205,
T2880,GZS01,5,1,近鉄エキスプレス成田,㈱近鉄エクスプレス　成田ターミナル,,,289,1603,千葉県山武郡芝山町大里157-1,近鉄成田ターミナル,,0479-70-9205,
T2880,USF02,5,1,朝日森運輸,朝日森運輸株式会社　成田DC,,,289,1606,千葉県山武郡芝山町山田１７１１－１,,,0479-77-3324,
T3090,CHD02,5,1,ＮＳカーゴ,ＮＳカーゴ Ｃ/Ｏ ＡＣカーゴ,オズボルテックスサポート扱い,,289,1601,千葉県山武郡芝山町香山新田字矢志ヶ谷49-3,,,0479-78-8355,
T1210,INK11,5,1,阪急阪神ｴｸｽﾌﾟﾚｽ,株式会社　阪急阪神エクスプレス,,,289,1601,千葉県山武郡芝山町香山新田６５－３,成田カーゴターミナル,,0479-78-8490,
